name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
088313	Stout Halfling	Soldier	2018-08-13T18:42:17Z	Fighter 7	Fighter	Champion	7	Squat Nimbleness	76	18	18	14	14	12	12	9		Athletics|Acrobatics|Insight|Intimidation	Maul|Longsword|Crossbow, light		08 13 18		NA	NA	Halfling		Maul|Longsword|Crossbow, Light	4-7	competent_mclean
3bdf30	Human	Urchin	2018-11-03T20:04:55Z	Barbarian 1	Barbarian		1	Charger	15	15	16	14	16	12	13	14	N/B	Athletics|Acrobatics|Sleight of Hand|Stealth|Intimidation	Greataxe|Crossbow, light|Javelin		11 03 18		NA	NA	Human		Greataxe|Crossbow, Light|Javelin	1-3	hopeful_bassi
998121	Dragonborn	Hermit	2018-07-01T19:50:49Z	Warlock 1	Warlock	The Fiend	1		10	11	12	11	15	12	10	16		Arcana|Investigation|Religion|Medicine	Quarterstaff|Club|Dagger		07 01 18		NA	NA	Dragonborn		Quarterstaff|Club|Dagger	1-3	condescending_cray
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:29:31Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin	8-11	elegant_chebyshev
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:18:53Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin	8-11	elegant_chebyshev
af7e20	Mountain Dwarf	Outlander	2018-09-09T08:04:25Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin|Hazirawn/Nec	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin	8-11	pensive_moser
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:37:41Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin	8-11	elegant_chebyshev
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T06:52:09Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 08 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin	8-11	elegant_chebyshev
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:41:39Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin	8-11	elegant_chebyshev
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T08:33:21Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 09 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin	8-11	elegant_chebyshev
4ed3b0	Mountain Dwarf	Outlander	2018-09-09T05:55:58Z	Barbarian 8	Barbarian	Path of the Totem Warrior	8		101	22	20	20	20	12	14	18	Chaotic Good	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn|Battleaxe|Warhammer|Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	09 08 18	CG	G	C	Dwarf	*	Battleaxe|Warhammer|Javelin	8-11	elegant_chebyshev
05979d	Half-Elf	Noble	2019-01-01T03:42:44Z	Rogue 3	Rogue	Arcane Trickster	3		26	14	10	16	12	18	12	14		Acrobatics|Stealth|Arcana|History|Investigation|Insight|Perception|Deception|Persuasion	Rapier|Shortbow|Dagger		12 31 18		NA	NA	Half-Elf		Rapier|Shortbow|Dagger	1-3	stupefied_greider
6b344f	High Elf	Cloistered Scholar	2019-01-01T02:59:45Z	Wizard 3	Wizard	School of Transmutation	3		19	12	10	14	12	17	16	14		Arcana|History|Investigation|Insight|Perception	Quarterstaff|Longsword		12 31 18		NA	NA	Elf		Quarterstaff|Longsword	1-3	agitated_ptolemy
4cd0dd	Mountain Dwarf	Folk Hero	2019-01-01T03:01:04Z	Druid 3	Druid	Circle of the Moon	3		30	11	16	11	19	11	17	14		Nature|Animal Handling|Medicine|Survival	Handaxe|Quarterstaff		12 31 18		NA	NA	Dwarf		Handaxe|Quarterstaff	1-3	gallant_kapitsa
503f18	Kobold	Folk Hero	2019-01-04T18:37:36Z	Monk 15	Monk	Way of the Drunken Master	15	Mobile|Athlete|Squat Nimbleness	111	19	10	20	14	12	18	10	Lawful Neutral	Athletics|Acrobatics|Animal Handling|Insight|Survival|Performance	Dart|Unarmed Strike		01 04 19	LN	N	L	Kobold		Dart|Unarmed Strike	12-15	silly_noether
503f18	Kobold	Far Traveler	2019-01-04T17:05:13Z	Monk 15	Monk	Way of the Drunken Master	15	Athlete|Mobile	122	19	10	20	14	13	18	10		Acrobatics|Religion|Insight|Perception|Performance	Dart|Unarmed Strike		01 04 19		NA	NA	Kobold		Dart|Unarmed Strike	12-15	silly_noether
ed9db6	Human	Outlander	2018-05-31T18:52:17Z	Fighter 1	Fighter		1	War Caster	11	18	16	13	14	12	11	8		Athletics|Acrobatics|Insight|Perception|Survival	Greataxe|Handaxe		05 31 18		NA	NA	Human		Greataxe|Handaxe	1-3	vigorous_yalow
d7b2b9	Half-Elf	Outlander	2018-12-28T19:50:48Z	Sorcerer 6	Sorcerer	Wild Magic	6		34	12	10	10	12	15	15	16	Chaotic good	Athletics|Religion|Insight|Survival|Deception|Persuasion	Crossbow, light	Fire bolt*0|Shocking Grasp*0|Mage Hand*0|Mend*0|Ray Of Frost*0|Web (Once A Day)*0|Witch Bolt*1|Sleep*1|Chromatic Orb*1|Blindness/Deafness*2|Mirror Image*2|Haste*3|Fireball*3	12 28 18	CG	G	C	Half-Elf	Fire Bolt*0|Shocking Grasp*0|Mage Hand*0|Mending*0|Ray of Frost*0|Witch Bolt*1|Sleep*1|Chromatic Orb*1|Blindness/Deafness*2|Mirror Image*2|Haste*3|Fireball*3	Crossbow, Light	4-7	sweet_gould
d99164	Shadow Elf	Far Traveler	2018-09-28T22:05:41Z	Bard 3	Bard	College of Whispers	3		12	15	12	19	9	13	12	12	CN	Acrobatics|Sleight of Hand|Stealth|Insight|Perception	Longsword|Dagger		09 28 18	CN	N	C	Elf		Longsword|Dagger	1-3	sad_raman
ecf1f3	Tabaxi	Urchin	2018-12-15T16:11:08Z	Rogue 3	Rogue	Thief	3		28	15	9	19	15	13	15	15	Chaotic Neutral	Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion	Shortsword|Shortbow|Dagger|Cat's Claws|Dagger of Venom|Rep. Crossbow, light		12 15 18	CN	N	C	Tabaxi		Shortsword|Shortbow|Dagger|Crossbow, Light	1-3	laughing_vaughan
c83fcd	Serpentblood	Sage	2018-09-08T14:35:32Z	Wizard 1	Wizard		1		8	10	10	10	15	16	10	13		Arcana|History|Investigation|Insight	Quarterstaff		09 08 18		NA	NA	Yaun-Ti		Quarterstaff	1-3	musing_curran
87f9e0	Tabaxi	Criminal	2019-01-09T19:32:20Z	Bard 10	Bard	College of Whispers	10		78	14	8	17	13	8	12	20		Acrobatics|Stealth|Perception|Deception|Performance|Persuasion	Shortbow|Dagger		01 09 19		NA	NA	Tabaxi		Shortbow|Dagger	8-11	flamboyant_meninsky
f2bdd2	Half-Orc	Hermit	2018-11-19T01:37:36Z	Warlock 5	Warlock	The Archfey	5		33	15	11	16	12	15	12	16	Lawful Neutral	Arcana|Investigation|Religion|Medicine|Intimidation	Quarterstaff|Dagger	Eldritch Blast*0|Mage Hand*0|Prestidigitation*0|Spider Climb*2|Shatter*2|Invisibility*2|Suggestion*2|Dispel Magic*3|Major Image*3	11 18 18	LN	N	L	Half-Orc	Eldritch Blast*0|Mage Hand*0|Prestidigitation*0|Spider Climb*2|Shatter*2|Invisibility*2|Suggestion*2|Dispel Magic*3|Major Image*3	Quarterstaff|Dagger	4-7	focused_brattain
f4c943	Tabaxi	Far Traveler	2019-01-02T12:31:01Z	Fighter 1	Fighter		1		12	15	15	14	14	9	10	13		Athletics|Stealth|Insight|Perception|Survival	Longbow|Longsword|Handaxe		01 02 19		NA	NA	Tabaxi		Longbow|Longsword|Handaxe	1-3	hungry_einstein
e8eb6c	Rock Gnome	Noble	2018-07-06T03:51:28Z	Sorcerer 1	Sorcerer	Storm Sorcery	1		9	11	11	13	16	17	14	15		Arcana|History|Deception|Persuasion	Dagger		07 05 18		NA	NA	Gnome		Dagger	1-3	eager_grothendieck
cefbd5	Tortle - Razorback Tribe	Knight	2018-07-07T05:21:32Z	Paladin 1	Paladin		1		11	16	17	10	15	11	15	14	Lawful Good	Athletics|Nature|Medicine|Survival|Persuasion	Maul|Warhammer		07 06 18	LG	G	L	Turtle		Maul|Warhammer	1-3	clever_antonelli
c42383	Aarakocra	Entertainer	2019-01-06T19:00:11Z	Wizard 3	Wizard	Bladesinging	3		11	13	15	16	8	12	11	13		Acrobatics|Arcana|Medicine|Performance	Dagger		01 06 19		NA	NA	Aarakocra		Dagger	1-3	frosty_greider
c42383	Human	Charlatan	2019-01-06T19:00:20Z	Ranger 3	Ranger	Horizon Walker	3	Resilient	22	12	13	15	11	15	9	12		Sleight of Hand|Investigation|Animal Handling|Perception|Survival|Deception	Quarterstaff|Handaxe|Longbow	Protection from Evil and Good*1	01 06 19		NA	NA	Human	Protection from Evil and Good*1	Quarterstaff|Handaxe|Longbow	1-3	frosty_greider
c42383	Goblin	Charlatan	2019-01-06T19:00:00Z	Rogue 2|Bard 1	Rogue|Bard	|	3		24	12	10	14	15	8	13	15		Sleight of Hand|Stealth|Investigation|Insight|Deception|Intimidation|Persuasion	Shortsword|Shortbow|Dagger		01 06 19		NA	NA	Goblin		Shortsword|Shortbow|Dagger	1-3	frosty_greider
ecca6d	Human	Noble	2019-01-03T07:31:42Z	Paladin 5	Paladin	Oath of Devotion	5	Shield Master	44	18	16	9	14	11	14	16	Lawful Good	History|Religion|Medicine|Persuasion	Longsword|Javelin|Lance	Protection from Evil and Good*1|Sanctuary*1|Bless*1|Compelled Duel*1|Heroism*1|Lesser Restoration*2|Zone of Truth*2|Find Steed*2	01 02 19	LG	G	L	Human	Protection from Evil and Good*1|Sanctuary*1|Bless*1|Compelled Duel*1|Heroism*1|Lesser Restoration*2|Zone of Truth*2|Find Steed*2	Longsword|Javelin|Lance	4-7	ecstatic_sutherland
be75cc	Human	Charlatan	2019-01-18T22:40:32Z	Rogue 5	Rogue	Assassin	5	Savage Attacker	39	16	12	18	15	17	16	14	Chaotic Neutral	Acrobatics|Sleight of Hand|Stealth|Investigation|Deception	Rapier|Shortsword|Dagger		01 18 19	CN	N	C	Human		Rapier|Shortsword|Dagger	4-7	loving_ganguly
039d7e	Lightfoot Halfling	Criminal	2019-01-05T00:10:42Z	Rogue 5	Rogue	Thief	5	Defensive Duelist	31	15	11	19	13	14	13	12	Neutral Good	Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception	Shortsword|Shortbow|Dagger		01 04 19	NG	G	N	Halfling		Shortsword|Shortbow|Dagger	4-7	peaceful_johnson
ecca6d	Human	Noble	2019-01-05T01:53:51Z	Paladin 5	Paladin	Oath of Devotion	5	Shield Master	45	21	18	10	15	12	9	17	Lawful Good	History|Religion|Medicine|Persuasion	Longsword|Javelin|Lance	Protection from Evil and Good*1|Sanctuary*1|Bless*1|Compelled Duel*1|Heroism*1|Lesser Restoration*2|Zone of Truth*2|Find Steed*2	01 04 19	LG	G	L	Human	Protection from Evil and Good*1|Sanctuary*1|Bless*1|Compelled Duel*1|Heroism*1|Lesser Restoration*2|Zone of Truth*2|Find Steed*2	Longsword|Javelin|Lance	4-7	ecstatic_sutherland
066b07	Human	Soldier	2018-09-24T01:07:04Z	Fighter 1	Fighter		1	Resilient	12	16	16	10	14	10	13	13	CG	Athletics|Acrobatics|Perception|Survival|Intimidation	Greatsword|Crossbow, hand|Crossbow, light		09 23 18	CG	G	C	Human		Greatsword|Crossbow, hand|Crossbow, Light	1-3	charming_margulis
428cf7	Human	Soldier	2018-10-13T13:47:59Z	Fighter 1|Warlock 3	Fighter|Warlock	|The Hexblade	4	Polearm Master	33	16	10	13	14	10	12	16	CG	Athletics|Acrobatics|Perception|Survival|Intimidation	Glaive	Eldritch Blast*0|Mage Hand*0|Shield *1|Hex*1|Misty Step*2|Mirror Image*2	10 13 18	CG	G	C	Human	Eldritch Blast*0|Mage Hand*0|Shield*1|Hex*1|Misty Step*2|Mirror Image*2	Glaive	4-7	festive_kalam
d99391	Human	Soldier	2018-10-13T13:45:59Z	Fighter 1|Warlock 2	Fighter|Warlock	|The Hexblade	3	War Caster	26	18	10	13	14	10	12	16	CG	Athletics|Acrobatics|Perception|Survival|Intimidation	Longsword	Eldritch Blast*0|Mage Hand*0|Shield*1|Hellish Rebuke*1|Cause Fear*1	10 13 18	CG	G	C	Human	Eldritch Blast*0|Mage Hand*0|Shield*1|Hellish Rebuke*1|Cause Fear*1	Longsword	1-3	keen_cohen
70b89f	Forest Gnome	Sage	2018-10-18T14:54:16Z	Wizard 6	Wizard	School of Evocation	6		32	12	8	14	13	20	12	12	CN	Arcana|History|Investigation|Insight	Dagger	Control Flames*0|Firebolt*0|Mage Hand*0|Minor Illusion (Race)*0|Frostbite*0|Shield*1|Mage Armor*1|Feather Fall*1|Magic Missile*1|Identify*1|Find Familiar*1|Detect Magic*1|Alarm*1|Scorching Ray*2|Invisibility*2|Misty Step*2| Shatter*2|Firebolt*3|Lightning Bolt*3|Counterspell*3|Leomund's Tiny Hut*3	10 18 18	CN	N	C	Gnome	Control Flames*0|Fire Bolt*0|Mage Hand*0|Minor Illusion*0|Frostbite*0|Shield*1|Mage Armor*1|Feather Fall*1|Magic Missile*1|Identify*1|Find Familiar*1|Detect Magic*1|Alarm*1|Scorching Ray*2|Invisibility*2|Misty Step*2|Shatter*2|Lightning Bolt*3|Counterspell*3|Leomund’s Tiny Hut*3	Dagger	4-7	fervent_sanderson
503f18	Kobold	Folk Hero	2019-01-05T01:48:06Z	Monk 15	Monk	Way of the Drunken Master	15	Mobile|Athlete|Squat Nimbleness	111	19	10	20	14	12	18	10	Lawful Neutral	Athletics|Acrobatics|Animal Handling|Insight|Survival|Performance	Dart|Unarmed Strike|Quarterstaff		01 04 19	LN	N	L	Kobold		Dart|Unarmed Strike|Quarterstaff	12-15	silly_noether
8a9dd6	Half-elf	Acolyte	2018-12-24T04:02:04Z	Warlock 3	Warlock	The Celestial	3		24	13	8	15	14	10	12	17	Nuetral Good	Sleight of Hand|Arcana|Religion|Insight|Perception|Deception|Persuasion	Sickle|Quarterstaff|Dagger	Light*0|Sacred Flame*0|Eldritch Blast*0|Chill Touch*0|Minor Illusion*0|Guidance*0|Prestidigitation*0|Cure Wounds*1|Hex*1|Shatter*2|Lesser Restoration*2	12 23 18	NG	G	N	Half-Elf	Light*0|Sacred Flame*0|Eldritch Blast*0|Chill Touch*0|Minor Illusion*0|Guidance*0|Prestidigitation*0|Cure Wounds*1|Hex*1|Shatter*2|Lesser Restoration*2	Sickle|Quarterstaff|Dagger	1-3	confident_mirzakhani
8a9dd6	Half-elf	Acolyte	2018-12-25T06:52:52Z	Warlock 3	Warlock	The Celestial	3		24	13	8	15	14	10	12	17	Nuetral Good	Sleight of Hand|Arcana|Religion|Insight|Perception|Deception|Persuasion	Sickle|Quarterstaff|Dagger|Eldritch  Last|Chill Touch	Light*0|Sacred Flame*0|Eldritch Blast*0|Chill Touch*0|Minor Illusion*0|Guidance*0|Prestidigitation*0|Cure Wounds*1|Hex*1|Shatter*2|Lesser Restoration*2	12 24 18	NG	G	N	Half-Elf	Light*0|Sacred Flame*0|Eldritch Blast*0|Chill Touch*0|Minor Illusion*0|Guidance*0|Prestidigitation*0|Cure Wounds*1|Hex*1|Shatter*2|Lesser Restoration*2	Sickle|Quarterstaff|Dagger	1-3	confident_mirzakhani
8a9dd6	Variant	Acolyte	2018-12-23T03:19:47Z	Warlock 3	Warlock	The Celestial	3		24	12	8	15	14	10	12	17		Sleight of Hand|Arcana|Religion|Insight|Perception|Deception|Persuasion	Sickle|Quarterstaff|Dagger	Light*0|Sacred Flame*0	12 22 18		NA	NA	Half-Elf	Light*0|Sacred Flame*0	Sickle|Quarterstaff|Dagger	1-3	confident_mirzakhani
9494ea	Tabaxi	Guild Artisan	2018-10-25T04:58:15Z	Artificer 1	Artificer	Alchemist	1		10	14	8	15	14	15	10	13		Stealth|Arcana|Investigation|Insight|Perception|Persuasion		Detect Magic (Ritual)*1|Identify (Ritual)*1	10 24 18		NA	NA	Tabaxi	Detect Magic*1|Identify*1		1-3	magical_ritchie
360b2b	Human	Criminal	2018-12-01T21:03:25Z	Bard 1	Bard		1		8	12	11	13	11	17	13	18	N/B	Stealth|Animal Handling|Insight|Deception|Persuasion	Rapier|Dagger		12 01 18		NA	NA	Human		Rapier|Dagger	1-3	dazzling_borg
4ed3b0	Mountain Dwarf	Outlander	2018-12-30T08:53:12Z	Barbarian 11	Barbarian	Path of the Totem Warrior	11		137	25	20	20	20	12	14	18	Chaotic Neutral	Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation	Hazirawn/Nec|Warhammer|Battleaxe|9x Javelin	Detect Magic (1)*0|Detect Good and Evil (1)*0|Detect Thoughts (2)*0	12 30 18	CN	N	C	Dwarf	*	Warhammer|Battleaxe|Javelin	8-11	elegant_chebyshev
d5bc2c	Human	Soldier	2019-01-12T01:10:18Z	Paladin 7	Paladin	Oath of Ancients	7	Savage Attacker	81	21	19	16	16	16	13	14		Athletics|Medicine|Intimidation	Longsword (Silvered)|Javelin|Crossbow, Heavy|Morning Glory	Divine Sense*0|Lay On Hands*0|Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2	01 11 19		NA	NA	Human	Mage Hand*0|Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2	Longsword|Javelin|Crossbow, Heavy	4-7	blissful_noyce
d18645	Protector Aasimar	Knight	2018-12-30T01:31:30Z	Cleric 10	Cleric	Grave Domain	10		75	16	16	11	16	12	20	20	Chaotic Neutral	Religion|Insight|Medicine|Persuasion	Mace|Crossbow, light|Quarterstaff|Silvered Dagger|Longbow|Greataxe|Greatsword	Spare the Dying*0|Sacred Flame*0|Thaumaturgy*0|Word Of Radiance*0|Light*0|Mending*0|Bane*1|False Life*1|Inflict Wounds*1|Guiding Bolt*1|Command*1|Shield Of Faith*1|Gentle Repose*2|Ray of Enfeeblement*2|Spiritual Weapon*2|Calm Emotion*2|Hold Person*2|Revivify*3|Vampiric Touch*3|Create Food And Water*3|Bestow Curse*3|Spirit Guardians*3|Blight*4|Death Ward*4|Stone Shape*4|Guardian Of Faith*4|Banishment*4|Antilife Shell*5|Raise Dead*5|Destructive Wave*5|Teleportation Circle*5|Mass Cure Wounds*5	12 29 18	CN	N	C	Aasimar	Spare the Dying*0|Sacred Flame*0|Thaumaturgy*0|Word of Radiance*0|Light*0|Mending*0|Bane*1|False Life*1|Inflict Wounds*1|Guiding Bolt*1|Command*1|Shield of Faith*1|Gentle Repose*2|Ray of Enfeeblement*2|Spiritual Weapon*2|Calm Emotions*2|Hold Person*2|Revivify*3|Vampiric Touch*3|Create Food and Water*3|Bestow Curse*3|Spirit Guardians*3|Blight*4|Death Ward*4|Stone Shape*4|Guardian of Faith*4|Banishment*4|Antilife Shell*5|Raise Dead*5|Destructive Wave*5|Teleportation Circle*5|Mass Cure Wounds*5	Mace|Crossbow, Light|Quarterstaff|Dagger|Longbow|Greataxe|Greatsword	8-11	blissful_heisenberg
e5d277	Tiefling	Entertainer	2019-01-13T01:27:10Z	Bard 11	Bard	College of Glamour	11		97	18	16	18	16	16	16	20		Acrobatics|Stealth|Deception|Performance|Persuasion	Rapier|Dagger|Sun Blade	Message*0|Minor Illusion*0|Prestidigitation*0|Mending*0|Schadenfreude*1|Feather Fall*1|Cure Wounds*1|Sleep*1|Identify*1|Shield*1|Invisibility*2|Shatter*2|Detect Thoughts*2|Leomund's Tiny Hut*3|Clairvoyance*3|Sending*3|Dispell Magic*3|Polymorph*4|Dimension Door*4|Seeming*5	01 12 19		NA	NA	Tiefling	Message*0|Minor Illusion*0|Prestidigitation*0|Mending*0|Feather Fall*1|Cure Wounds*1|Sleep*1|Identify*1|Shield*1|Invisibility*2|Shatter*2|Detect Thoughts*2|Leomund’s Tiny Hut*3|Clairvoyance*3|Sending*3|Dispel Magic*3|Polymorph*4|Dimension Door*4|Seeming*5	Rapier|Dagger	8-11	sad_saha
