ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	castingStat	choices	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
1796d26	b107a60	65bd1a0a5df8e7b663c759eea895aec7	ba2f978	Human	City Watch	2019-03-30T05:37:21Z	Druid 20	Druid	Circle of Spores	20	Elemental Adept	195	17	8	18	18	12	20	8		Athletics|Nature|Animal Handling|Insight|Perception	Scimitar	Chill Touch*0|Blindness/Deafness*1|Gentle Repose*1|Animate Dead*2|Gaseous Form*2|Blight*3|Confusion*3|Cloudkill*4|Contagion*4	Wis		United States	US		NA	NA	Human	Chill Touch*0|*|*|*|*|*|*|*|*	Scimitar	19-20	flamboyant_wozniak
	4483ed9	dcfccbf3c7234eaa73b3732b40036946	9fd29fb	Human	Noble	2019-03-28T02:52:00Z	Wizard 20	Wizard	School of Enchantment	20	War Caster|Spell Sniper|Resilient	200	14	13	19	19	21	15	20		Arcana|History|Insight|Persuasion	Quarterstaff	Fire Bolt*0|Eldritch Blast*0|Tasha's Hideous Laughter*1|Summon Lesser Demons*3|Confusion*4|Dominate Person*5|Hold Monster*5|Synaptic Static*5|Otto's Irresistible Dance*6|Power Word Pain*7|Finger Of Death*7|Feeblemind*8|Dominate Monster*8|Power Word Kill*9|Psychic Scream*9	Int		Canada	CA		NA	NA	Human	Fire Bolt*0|Eldritch Blast*0|Tasha's Hideous Laughter*1|Summon Lesser Demons*3|Confusion*4|Dominate Person*5|Hold Monster*5|Synaptic Static*5|Otto's Irresistible Dance*6|Power Word Pain*7|Finger of Death*7|Feeblemind*8|Dominate Monster*8|Power Word Kill*9|Psychic Scream*9	Quarterstaff	19-20	distracted_agnesi
ca47b89	fe0c94f	3ece8376f609c97859dcc70fa5750d22	6ba2922	Human	Sage	2019-03-27T16:09:36Z	Wizard 20	Wizard	School of Necromancy	20	Keen Mind|War Caster|Spell Sniper|Actor|Magic Initiate	174	13	14	17	21	26	22	22		Arcana|History|Investigation|Insight	Quarterstaff	Animate Dead*3	Int		United States	US		NA	NA	Human	Animate Dead*3	Quarterstaff	19-20	festive_allen
1cfbf87	36feff9	bd801b89f2bd83dd6494ae82f383afaf	531e4af	Eladrin ToF	Acolyte	2019-03-23T22:01:58Z	Sorcerer 20	Sorcerer	Wild Magic	20	Magic Initiate|Elven Accuracy	81	14	8	18	10	14	12	20		Religion|Insight|Perception|Deception|Persuasion	Quarterstaff|Dagger	Viscious Mockery*0|Pretidigitation*0|Minor Illusion*0|Message*0|Mending*0|Bane*1|Catnap*3|Enemies Abound*3|Charm Monster*4|Synaptic Static*5|Mental Prison*6|Power Word Pain*7|Power Word kill*9|Psychic Scream*9	Cha	metamagic/Twinned Spell*Heightened Spell*Subtle Spell	United States	US		NA	NA	Eladrin	Vicious Mockery*0|Prestidigitation*0|Minor Illusion*0|Message*0|Mending*0|Bane*1|Catnap*3|Enemies Abound*3|Charm Monster*4|Synaptic Static*5|Mental Prison*6|Power Word Pain*7|Power Word Kill*9|Psychic Scream*9	Quarterstaff|Dagger	19-20	quirky_noether
1cfbf87	36feff9	87b72e2a77a25332ade3be2360f2de83	4dd46f0	Eladrin ToF	Noble	2019-03-23T21:24:39Z	Fighter 20	Fighter	Battle Master	20		189	16	20	20	18	10	8	13		Athletics|Acrobatics|History|Perception|Persuasion	Longbow|Longsword|Handaxe		Int	fighting style/Dueling|combat superiority maneuvers/Riposte*Precision Attack*Parry*Trip Attack*Disarming Attack*Rally*Lunging Attack*Feinting Attack*Evasive Footwork	United States	US		NA	NA	Eladrin		Longbow|Longsword|Handaxe	19-20	relaxed_austin
ca47b89	fc8058a	3f2bfcc1680706ffcb46963116d8839b	5250c55	Human	Sage	2019-03-23T13:45:55Z	Wizard 20	Wizard	School of Necromancy	20		115	11	12	13	14	22	20	20		Arcana|History|Investigation|Medicine	Quarterstaff	Animate Dead*3|Time Stop*9	Int		United States	US		NA	NA	Human	Animate Dead*3|Time Stop*9	Quarterstaff	19-20	vibrant_chatterjee
1f42231	2ae9c85	db8c04bca300b3ee95ec0e35fce60f3c	e0aa943	Mountain Dwarf	Mercenary Veteran	2019-03-23T10:22:31Z	Fighter 20	Fighter	Battle Master	20		284	23	20	20	20	10	10	6	Chaotic Good	Athletics|Insight|Perception|Persuasion	Eclipse Greatsword of the Stars|Explosive Dagger|Warhammer of Earthshatter|Flame Spear		Int	fighting style/Great Weapon Fighting|combat superiority maneuvers/Sweeping Attack*Pushing Attack*Feinting Attack*Trip Attack*Lunging Attack*Menacing Attack*Goading Attack*Precision Attack*Evasive Footwork	United States	US	CG	NA	NA	Dwarf		Greatsword|Dagger|Warhammer|Spear	19-20	recursing_mclean
3aefc01	349ee58	c5e82cf30113401acf5c5736c01a7893	a45aeb4	Goliath	Folk Hero	2019-03-09T17:44:30Z	Fighter 20	Fighter	Champion	20	Great Weapon Master|Tough|Mobile	264	22	20	12	20	8	14	10	CG	Athletics|Animal Handling|Perception|Survival	Defender|Great Weapon Master		Int	fighting style/Defense*Great Weapon Fighting	United States	US	CG	NA	NA	Goliath		|	19-20	eloquent_dubinsky
dc52660	93dc469	283464063995ff8a3b3ac7942c3184dd	f804e71	Goliath	Outlander	2019-02-16T03:01:04Z	Barbarian 20	Barbarian	Path of the Berserker	20		359	18	22	16	20	14	14	14		Athletics|Nature|Survival|Intimidation	Greataxe|Handaxe|Javelin|Unarmed strike		Int		United States	US		NA	NA	Goliath		Greataxe|Handaxe|Javelin|Unarmed Strike	19-20	wizardly_elion
2338a3d	cb5a583	12309894913a9ef85357851c651876f8	4b5d8dd	Tiefling	Criminal	2019-02-14T21:06:28Z	Rogue 20	Rogue	Assassin	20	Crossbow Expert|Dual Wielder|Sharpshooter|Flames of Phlegethos	139	15	14	17	13	11	10	15		Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception	Rapier|Dagger|Crossbow, light		Int	expertise/Stealth*Sleight of Hand*Thieves' Tools*Perception	Dominican Republic	DO		NA	NA	Tiefling		Rapier|Dagger|Crossbow, Light	19-20	flamboyant_wescoff
2338a3d	cb5a583	82bb9e53c491d4baa5ab3b47e1294a7f	e868a4b	High Elf	Sage	2019-02-14T21:05:37Z	Wizard 20	Wizard	School of Necromancy	20	Lucky|Elven Accuracy|Magic Initiate	92	10	8	11	11	14	14	12		Arcana|History|Investigation|Religion|Perception	Quarterstaff	Animate Dead*3	Int		Dominican Republic	DO		NA	NA	Elf	Animate Dead*3	Quarterstaff	19-20	charming_jones
2338a3d	cb5a583	645797ca38b5255748afcbb307c6a75b	8cf6827	Human	Soldier	2019-02-14T21:03:50Z	Monk 20	Monk	Way of the Open Hand	20	Mobile|Lucky|Defensive Duelist	189	12	16	15	16	13	11	11		Athletics|Acrobatics|Religion|Intimidation	Dart|Unarmed strike		Int		Dominican Republic	DO		NA	NA	Human		Dart|Unarmed Strike	19-20	epic_booth
2338a3d	cb5a583	4f843ca06ddb3f9a85030c000b03683c	981c630	Ghastly Halfling	Acolyte	2019-02-14T21:02:09Z	Cleric 20	Cleric	Knowledge Domain	20	Lucky|Second Chance|Magic Initiate|Observant	166	16	5	8	16	12	15	15		Arcana|History|Nature|Religion|Insight|Persuasion	Mace|Crossbow, light	Command*1|Identify*1|Augury*2|Suggestion*2|Nondetection*3|Speak with Dead*3|Arcane Eye*4|Confusion*4|Legend Lore*5|Scrying*5	Wis		Dominican Republic	DO		NA	NA	Halfling	Command*1|Identify*1|Augury*2|Suggestion*2|Nondetection*3|Speak with Dead*3|Arcane Eye*4|Confusion*4|Legend Lore*5|Scrying*5	Mace|Crossbow, Light	19-20	optimistic_haslett
2338a3d	cb5a583	44df0c965208e97bae3b7c9e4e383985	107a357	Gray Dwarf	Soldier	2019-02-14T21:01:26Z	Paladin 20	Paladin	Oath of Vengeance	20	Lucky|Dwarven Fortitude|Sentinel	220	16	18	10	17	13	12	10		Athletics|Religion|Medicine|Intimidation	Javelin	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5	Cha	fighting style/Dueling	Dominican Republic	DO		NA	NA	Dwarf	Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5	Javelin	19-20	vibrant_ride
2338a3d	cb5a583	30b040bafa70b5aba9d1cbb5c69c52ed	530ea84	Human	Hermit	2019-02-14T20:48:55Z	Sorcerer 20	Sorcerer	Draconic Bloodline	20	Magic Initiate|Mage Slayer|Lucky	156	13	13	9	15	11	12	16		Arcana|Religion|Medicine|Persuasion	Crossbow, light|Dagger		Cha	metamagic/Twinned Spell*Quickened Spell*Empowered Spell*Subtle Spell	Dominican Republic	DO		NA	NA	Human		Crossbow, Light|Dagger	19-20	eager_mclean
8c37202	82268d2	e438ea84df9f99760f4f49f22795812e	f1001a1	Human	Urchin	2018-12-15T07:58:04Z	Monk 20	Monk	Way of the Long Death	20	Observant|Magic Initiate|Prodigy|Ritual Caster|Alert	160	18	8	17	10	12	16	14		Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Persuasion	Dagger|Dart|Unarmed strike		Int	expertise/Perception	United States	US		NA	NA	Human		Dagger|Dart|Unarmed Strike	19-20	inspiring_ride
5f0c103	829adaa	228158a6f5cda3af7602cdd38eea8c09	d16ea32	Half-Orc	Hermit	2018-12-09T21:41:09Z	Barbarian 20	Barbarian	Path of the Berserker	20	Resilient	285	19	24	14	24	10	12	8		Athletics|Religion|Medicine|Perception|Intimidation	Greataxe|Handaxe|Javelin		Int		Brazil	BR		NA	NA	Half-Orc		Greataxe|Handaxe|Javelin	19-20	priceless_galois
5f0c103		896601179c41b1a8932bf9f1b1d743b6	6aceb99	Undead	Overlord	2018-12-09T21:38:49Z	Wizard 20	Wizard	School of Necromancy	20		92	18	9	14	15	21	21	0		Athletics|Arcana|Investigation|Perception|Survival	Cajado Classe Mundial++	Animate Dead*3	Int		Brazil	BR		NA	NA		Animate Dead*3		19-20	heuristic_chaplygin
c1961dd	51ec2a1	d8313e93d4908d707a6f3bd67203e70f	29047b0	Human	Knight	2018-12-07T02:20:40Z	Paladin 20	Paladin	Oath of Devotion	20	Martial Adept|Mage Slayer|War Caster|Savage Attacker|Sentinel	248	19	21	13	21	11	15	19		Athletics|Religion|Intimidation|Persuasion	Whip|Javelin	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5	Cha	combat superiority maneuvers/Sweeping Attack*Goading Attack|fighting style/Protection	United States	US		NA	NA	Human	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5	Whip|Javelin	19-20	reverent_solomon
a00bcc1	5a833ff	cfb5a2e8eb38f39ed99257d05bc9df88	660a252	Wood Elf	Hermit	2018-12-03T01:54:12Z	Druid 20	Druid	Circle of the Land	20	Elven Accuracy	143	15	10	14	14	18	20	10		Arcana|Religion|Animal Handling|Medicine|Perception		Invisibility*2|Pass without Trace*2|Daylight*3|Haste*3|Divination*4|Freedom of Movement*4|Dream*5|Insect Plague*5	Wis		Brazil	BR		NA	NA	Elf	Invisibility*2|Pass Without Trace*2|Daylight*3|Haste*3|Divination*4|Freedom of Movement*4|Dream*5|Insect Plague*5		19-20	nostalgic_wiles
b9796a8	c8686f2	90b0374d1d0e7a5cc38df2d7f868a3e5	85a22dd	Goliath	Far Traveler	2018-11-26T16:30:30Z	Barbarian 20	Barbarian	Path of the Berserker	20	Alert|Mobile|Great Weapon Master|Observant|Resilient	245	17	30	14	20	11	8	12		Athletics|Insight|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin|Hammer Of Thunderbolts|Hammer Of Thunderbolts		Int		United States	US		NA	NA	Goliath		Greataxe|Handaxe|Javelin||	19-20	clever_murdock
0c7b859		5a158b0855d25c0b560f0b907dee7c65	e927e3a	Forest Gnome	Sage	2018-11-17T21:48:26Z	Wizard 20	Wizard	School of Necromancy	20		154	14	8	18	19	20	18	8		Arcana|History|Religion|Medicine	Dagger	Animate Dead*3	Int		United States	US		NA	NA	Gnome	Animate Dead*3	Dagger	19-20	condescending_leavitt
1379386		26b5044c003b8c7a4b85304b57299d1c	611e790	Wood Elf	Hermit	2018-10-20T20:22:20Z	Druid 20	Druid	Circle of the Moon	20	War Caster|Sentinel|Alert	103	14	8	12	10	14	20	14		Arcana|Nature|Religion|Medicine|Perception	Scimitar		Wis		United States	US		NA	NA	Elf		Scimitar	19-20	agitated_williams
72e48b2		c9ee9682427b7f7aae16a714da4f46f8	1031572	naga	Acolyte	2018-09-27T00:43:37Z	Mystic 20	Mystic	Order of the Immortal	20		163	15	19	17	14	20	8	8		Arcana|Religion|Insight|Perception	Mace|Crossbow, light		Int	psionic disciplines/Brute Force*Iron Durability*Adaptive Body*Psionic Restoration*Bestial Form*Corrosive Metabolism*Giant Growth*Psionic Weapon|psionic talents/Mind Thrust*Mind Slam*Psychic Hammer*Energy Beam	United States	US		NA	NA			Mace|Crossbow, Light	19-20	happy_kapitsa
c53b1b3	ef71137	6659d5c3d7c54294b86a46f744eae0be	87b7c1c	Human	Folk Hero	2018-09-08T19:42:47Z	Cleric 20	Cleric	War Domain	20		203	24	20	16	20	12	20	15		Religion|Animal Handling|Insight|Survival	Spear|ThePowerhead|GaeBolga	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5	Wis		United Kingdom	GB		NA	NA	Human	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardians*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5	Spear||	19-20	recursing_swirles
36400cf		ed59314ed337347bea2fe682ca1d8dff	db1bd6b	Human	Hermit	2018-08-01T01:25:29Z	Monk 20	Monk	Way of the Four Elements	20	Mobile|Observant	200	20	13	20	15	12	21	11		Acrobatics|History|Religion|Insight|Medicine	Dagger|Dart|Unarmed strike		Int	elemental disciplines/Fist of Unbroken Air*Water Whip*Flames of the Phoenix*Wave of Rolling Earth	United States	US		NA	NA	Human		Dagger|Dart|Unarmed Strike	19-20	crazy_hermann
86cce77		02ab2e4eb4593905f3b0a17c0b75cb1a	c22bf79	Deep Gnome	Acolyte	2018-07-24T22:37:38Z	Warlock 20	Warlock	The Celestial	20		260	15	18	18	20	22	24	20		Sleight of Hand|Stealth|History|Religion|Insight|Perception|Deception|Performance|Persuasion	Dagger|Dagger	Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection From Good and Evil*1|Mage Armor - No Slot Needed*1|Disguise Self - No Slot Needed*1|Flaming Sphere*2|Lessor Restoration*2|Invisibility*2|Misty Step*2|Levitate - No Slot Needed*2|Alter Self - No Slot Needed*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Dance Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9	Cha	eldritch invocations/Mask of Many Faces*Armor of Shadows*Aspect of the Moon*Agonizing Blast*Ascendant Step*Sculptor of Flesh*Master of Myriad Forms*Witch Sight|pact boon/Pact of the Tome	United States	US		NA	NA	Gnome	Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection from Evil and Good*1|Mage Armor*1|Disguise Self*1|Flaming Sphere*2|Lesser Restoration*2|Invisibility*2|Misty Step*2|Levitate*2|Alter Self*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Danse Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9	Dagger|Dagger	19-20	ecstatic_dewdney
5d45df4	e9e9462	a6e86936003ae3550d92a31dd311e484	07ff7d2	Tiefling	Noble	2018-05-17T23:13:52Z	Paladin 20	Paladin	Oath of Ancients	20	Tough|Lucky	280	20	20	12	14	12	12	20		Athletics|History|Intimidation|Persuasion	Javelin|Greataxe|Longsword	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	Cha	fighting style/Dueling	United States	US		NA	NA	Tiefling	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	Javelin|Greataxe|Longsword	19-20	vigorous_montalcini
5d45df4	e9e9462	387c919ef65b8ac598f085af9dd82a1c	4eecfc2	Tiefling	Charlatan	2018-05-17T23:12:06Z	Warlock 20	Warlock	The Hexblade	20	Heavily Armored	260	18	8	10	20	12	14	20		Sleight of Hand|Investigation|Deception|Intimidation	Dagger|Greataxe		Cha	eldritch invocations/Improved Pact Weapon*Thirsting Blade*Tomb of Levistus*Relentless Hex*Eldritch Smite*Lifedrinker*Shroud of Shadow*Minions of Chaos|pact boon/Pact of the Blade	United States	US		NA	NA	Tiefling		Dagger|Greataxe	19-20	pedantic_stallman
0b0346e	3d22105	749cbdbb2d0dd828a1deeb9c8db446c4	ac4f62f	Dragonborn	Hermit	2018-04-29T21:11:31Z	Barbarian 20	Barbarian	Path of the Totem Warrior	20		285	20	24	16	24	12	12	12		Religion|Medicine|Survival|Intimidation	Greataxe|Handaxe|Javelin		Int		Brazil	BR		NA	NA	Dragonborn		Greataxe|Handaxe|Javelin	19-20	friendly_ritchie
8ce11b9	517c7b2	c8e71d1f104c3a59791322d6681f1b8c	31ed728	Half-Elf	Faction Agent	2018-04-21T14:08:42Z	Sorcerer 20	Sorcerer	Draconic Bloodline	20	Actor|Alert|Spell Sniper|Elven Accuracy|Elemental Adept	182	17	14	18	18	15	18	24		Arcana|Insight|Perception|Deception|Intimidation|Persuasion	Crossbow, light|Dagger		Cha	metamagic/Quickened Spell*Heightened Spell*Twinned Spell	Brazil	BR		NA	NA	Half-Elf		Crossbow, Light|Dagger	19-20	vibrant_chatelet
12b821d		183f35eeb8d477b7f4278ac53025e277	145c534	Human	Sailor	2019-05-26T21:35:41Z	Fighter 19	Fighter	Champion	19		213	19	19	17	20	9	10	12		Athletics|Acrobatics|Perception|Intimidation	Longsword|Handaxe|Greatsword		Int	fighting style/Protection*Defense	Canada	CA		NA	NA	Human		Longsword|Handaxe|Greatsword	19-20	dazzling_bardeen
b2e558f	f259534	b04453dff3dcc789667bc9472e2a1c53	96eb2b4	Human	Inheritor	2019-05-18T20:31:09Z	Warlock 19	Warlock	The Undying	19	Inspiring Leader|War Caster|Lucky|Tough|Defensive Duelist	285	17	18	18	20	18	18	20		Arcana|Investigation|Survival|Deception|Intimidation	Dagger	Spare the Dying*0	Cha	eldritch invocations/Devil's Sight*Agonizing Blast*One with Shadows*Dreadful Word*Minions of Chaos*Master of Myriad Forms*Maddening Hex*Gift of the Ever-Living Ones|pact boon/Pact of the Chain	United States	US		NA	NA	Human	Spare the Dying*0	Dagger	19-20	heuristic_kepler
36400cf	5320e1b	df7fda612348f70482df11cfaa392a48	5aaf4b7	Dragonborn	Faction Agent	2018-09-19T03:34:04Z	Monk 19	Monk	Way of the Sun Soul	19		190	20	14	20	14	14	20	16		Acrobatics|Stealth|Insight|Perception	Shortsword|Dart|Unarmed strike		Int		United States	US		NA	NA	Dragonborn		Shortsword|Dart|Unarmed Strike	19-20	angry_borg
