name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
9047b0	Human	Knight	2018-12-07T02:20:40Z	Paladin 20	Paladin	Oath of Devotion	20	Martial Adept|Mage Slayer|War Caster|Savage Attacker|Sentinel	248	19	21	13	21	11	15	19		Athletics|Religion|Intimidation|Persuasion	Whip|Javelin	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5	12 06 18		NA	NA	Human	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5	Whip|Javelin	19-20	bold_faraday
5a22dd	Goliath	Far Traveler	2018-11-26T16:30:30Z	Barbarian 20	Barbarian	Path of the Berserker	20	Alert|Mobile|Great Weapon Master|Observant|Resilient	245	17	30	14	20	11	8	12		Athletics|Insight|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin|Hammer Of Thunderbolts|Hammer Of Thunderbolts		11 26 18		NA	NA	Goliath		Greataxe|Handaxe|Javelin	19-20	vigorous_johnson
804e71	Goliath	Outlander	2018-12-15T07:54:24Z	Barbarian 20	Barbarian	Path of the Berserker	20		359	20	24	18	22	8	10	9		Athletics|Nature|Survival|Intimidation	Greataxe|Handaxe|Javelin|Unarmed strike		12 14 18		NA	NA	Goliath		Greataxe|Handaxe|Javelin|Unarmed Strike	19-20	modest_dijkstra
1001a1	Human	Urchin	2018-12-15T07:58:04Z	Monk 20	Monk	Way of the Long Death	20	Observant|Magic Initiate|Prodigy|Ritual Caster|Alert	160	18	8	17	10	12	16	14		Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Persuasion	Dagger|Dart|Unarmed strike		12 14 18		NA	NA	Human		Dagger|Dart|Unarmed Strike	19-20	goofy_boyd
68bf99	Kenku	Clan Crafter	2018-06-17T23:06:53Z	Warlock 20	Warlock	The Great Old One	20	Actor|War Caster	220	16	12	20	16	14	14	21		Stealth|Arcana|History|Religion|Insight|Deception	Crossbow, light|Dagger|Dagger		06 17 18		NA	NA	Kenku		Crossbow, Light|Dagger	19-20	condescending_greider
7b7c1c	Human	Folk Hero	2018-09-08T19:42:47Z	Cleric 20	Cleric	War Domain	20		203	24	20	16	20	12	20	15		Religion|Animal Handling|Insight|Survival	Spear|ThePowerhead|GaeBolga	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5	09 08 18		NA	NA	Human	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader’s Mantle*3|Spirit Guardians*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5	Spear	19-20	hardcore_rubin
c4f62f	Dragonborn	Hermit	2018-04-29T21:11:31Z	Barbarian 20	Barbarian	Path of the Totem Warrior	20		285	20	24	16	24	12	12	12		Religion|Medicine|Survival|Intimidation	Greataxe|Handaxe|Javelin		04 29 18		NA	NA	Dragonborn		Greataxe|Handaxe|Javelin	19-20	awesome_ptolemy
1ed728	Half-Elf	Faction Agent	2018-04-21T14:08:42Z	Sorcerer 20	Sorcerer	Draconic Bloodline	20	Actor|Alert|Spell Sniper|Elven Accuracy|Elemental Adept	182	17	14	18	18	15	18	24		Arcana|Insight|Perception|Deception|Intimidation|Persuasion	Crossbow, light|Dagger		04 21 18		NA	NA	Half-Elf		Crossbow, Light|Dagger	19-20	wizardly_lumiere
eecfc2	Tiefling	Charlatan	2018-05-17T23:12:06Z	Warlock 20	Warlock	The Hexblade	20	Heavily Armored	260	18	8	10	20	12	14	20		Sleight of Hand|Investigation|Deception|Intimidation	Dagger|Greataxe		05 17 18		NA	NA	Tiefling		Dagger|Greataxe	19-20	upbeat_hugle
7ff7d2	Tiefling	Noble	2018-05-17T23:13:52Z	Paladin 20	Paladin	Oath of Ancients	20	Tough|Lucky	280	20	20	12	14	12	12	20		Athletics|History|Intimidation|Persuasion	Javelin|Greataxe|Longsword	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	05 17 18		NA	NA	Tiefling	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	Javelin|Greataxe|Longsword	19-20	youthful_antonelli
aaf4b7	Dragonborn	Faction Agent	2018-09-19T03:34:04Z	Monk 19	Monk	Way of the Sun Soul	19		190	20	14	20	14	14	20	16		Acrobatics|Stealth|Insight|Perception	Shortsword|Dart|Unarmed strike		09 18 18		NA	NA	Dragonborn		Shortsword|Dart|Unarmed Strike	19-20	peaceful_colden
370d36	Gray Dwarf	Acolyte	2018-07-06T21:03:30Z	Paladin 19	Paladin	Oath of Ancients	19	War Caster|Skilled|Resilient	266	21	20	14	19	8	12	18		Religion|Insight|Medicine|Perception|Deception|Intimidation|Persuasion	Longsword	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	07 06 18		NA	NA	Dwarf	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	Longsword	19-20	fervent_burnell
df54af	Half-Orc	Outlander	2018-12-29T01:04:23Z	Fighter 17	Fighter	Champion	17	Great Weapon Master|Savage Attacker	174	16	20	12	18	12	13	10		Athletics|Insight|Perception|Survival|Intimidation	Greataxe|Longbow|Handaxe		12 28 18		NA	NA	Half-Orc		Greataxe|Longbow|Handaxe	16-18	cocky_antonelli
a18c47	Stout Halfling	Cloistered Scholar	2018-06-13T01:09:44Z	Wizard 16	Wizard	School of Necromancy	16	War Caster|Second Chance	144	11	10	13	16	20	13	13		Arcana|History|Investigation|Religion	Dagger	Animate Dead*3	06 12 18		NA	NA	Halfling	Animate Dead*3	Dagger	16-18	thirsty_tharp
c22cbc	Dragonborn	Haunted One	2018-07-06T07:02:32Z	Fighter 16	Fighter	Battle Master	16		216	16	20	20	20	14	14	14		Athletics|History|Investigation|Survival	Shortsword|Shortsword|		07 06 18		NA	NA	Dragonborn		Shortsword	16-18	peaceful_goldstine
a9a61d	Turtle	Criminal	2018-06-23T02:20:07Z	Druid 16	Druid	Circle of the Land	16		153	14	10	12	18	13	20	10		Stealth|Nature|Animal Handling|Survival|Deception	Scimitar	Barkskin*2|Spider Climb*2|Call Lightning*3|Plant Growth*3|Divination*4|Freedom of Movement*4|Commune with Nature*5|Tree Stride*5	06 22 18		NA	NA	Turtle	Barkskin*2|Spider Climb*2|Call Lightning*3|Plant Growth*3|Divination*4|Freedom of Movement*4|Commune with Nature*5|Tree Stride*5	Scimitar	16-18	elastic_newton
cb9242	Goblin	Criminal	2018-06-23T03:10:32Z	Sorcerer 16	Sorcerer	Wild Magic	16	Lucky	104	13	8	17	14	12	10	20		Stealth|Arcana|Deception|Intimidation	Quarterstaff|Dagger		06 22 18		NA	NA	Goblin		Quarterstaff|Dagger	16-18	vigilant_moore
2b842f	Lizardfolk	Mercenary Veteran	2018-06-24T17:25:13Z	Fighter 16	Fighter	Champion	16		164	16	20	16	18	12	12	9		Athletics|Acrobatics|Insight|Perception|Survival|Persuasion	Greatsword|Warhammer		06 24 18		NA	NA	Lizardfolk		Greatsword|Warhammer	16-18	gifted_stonebraker
f11604	Human	Noble	2018-06-24T12:59:48Z	Wizard 16	Wizard	School of Conjuration	16	Inspiring Leader|Tough	130	10	8	10	14	20	12	16	Lawful Evil	Arcana|History|Insight|Intimidation|Persuasion	Dagger	Infestation*0|Mage Hand*0|Friends*0|Message*0|Shocking Grasp*0|Find Familiar (R) (C)*1|Unseen Servant (R) (C)*1|Cause Fear*1|Disguise Self*1|Detect Magic*1|Mage Armor*1|Identify*1|Comprehend Languages*1|Charm Person*1|Crown Of Madness*2|Detect Thoughts*2|Dust Devil (C)*2|Hold Person*2|Mind Spike*2|Ray Of Enfeeblement*2|Animate Dead*3|Summon Lesser Demons (C)*3|Phantom Steed (R)*3|Fireball*3|Fear*3|Hypnotic Pattern*3|Conjure Minor Elementals (C)*4|Mordenkainen's Faithful Hound (C)*4|Summon Greater Demon (C)*4|Phantasmal Killer*4|Conjure Elemental (C)*5|Cloudkill (C)*5|Mental Prison*6|Soul Cage*6|Disintegrate*6|Circle Of Death*6|Mordenkainen's Magnificent Mansion (C)*7|Crown Of Stars*7|Mighty Fortress*8|Maddening Darkness*8|Antipathy/Sympathy*8	06 24 18	LE	E	L	Human	Infestation*0|Mage Hand*0|Friends*0|Message*0|Shocking Grasp*0|Find Familiar*1|Unseen Servant*1|Cause Fear*1|Disguise Self*1|Detect Magic*1|Mage Armor*1|Identify*1|Comprehend Languages*1|Charm Person*1|Crown of Madness*2|Detect Thoughts*2|Dust Devil*2|Hold Person*2|Mind Spike*2|Ray of Enfeeblement*2|Animate Dead*3|Summon Lesser Demons*3|Phantom Steed*3|Fireball*3|Fear*3|Hypnotic Pattern*3|Conjure Minor Elementals*4|Mordenkainen’s Faithful Hound*4|Summon Greater Demon*4|Phantasmal Killer*4|Conjure Elemental*5|Cloudkill*5|Mental Prison*6|Soul Cage*6|Disintegrate*6|Circle of Death*6|Mordenkainen’s Magnificent Mansion*7|Crown of Stars*7|Mighty Fortress*8|Maddening Darkness*8|Antipathy/Sympathy*8	Dagger	16-18	xenodochial_tesla
f218b2	High Elf	Inheritor	2018-06-24T00:18:50Z	Warlock 16	Warlock	The Great Old One	16	Keen Mind	111	14	9	16	15	13	12	17	Neutral Evil	Arcana|Perception|Survival|Deception|Intimidation|Persuasion	Dagger	Eldritch Blast*0|Prestidigitation*0|Minor Illusion*0|Lightning Lure*0|Vicious Mockery*0|Mold Earth*0|Friends*0|Hex*1|Hellish Rebuke*1|Comprehend Languages*1|Misty Step*2|Mirror Image*2|Ray Of Infeeblement*2|Fly*3|Remove Curse*3|Hunger Of Hadar*3|Dimension Door*4|Banishment*4|Hold Monster*5|Negative Energy Flood*5|Danse Macabre*5	06 23 18	NE	E	N	Elf	Eldritch Blast*0|Prestidigitation*0|Minor Illusion*0|Lightning Lure*0|Vicious Mockery*0|Mold Earth*0|Friends*0|Hex*1|Hellish Rebuke*1|Comprehend Languages*1|Misty Step*2|Mirror Image*2|Ray of Enfeeblement*2|Fly*3|Remove Curse*3|Hunger of Hadar*3|Dimension Door*4|Banishment*4|Hold Monster*5|Negative Energy Flood*5|Danse Macabre*5	Dagger	16-18	reverent_easley
1549e6	Human	Knight	2018-08-12T22:26:23Z	Paladin 16	Paladin	Oath of Devotion	16		229	18	16	13	18	14	12	14		History|Insight|Intimidation|Persuasion	Javelin	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4	08 12 18		NA	NA	Human	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4	Javelin	16-18	cranky_jennings
58683a	Wood Elf	Noble	2018-08-12T22:28:04Z	Ranger 16	Ranger	Beast Master	16		150	16	12	20	14	12	12	14		Stealth|History|Animal Handling|Perception|Survival|Persuasion	Shortsword|Longbow	Hunters Mark*1|Animal Friendship *1|Speak With Animals *1|Cure Wounds*1|Lesser Restoration *2|Pass Without A Trace*2|Spike Growth*2|Wind Wall*3|Water Breathing *3|Speak With Plants*3|Conjure Woodland Beings*4|Locate Creature *4	08 12 18		NA	NA	Elf	Hunter’s Mark*1|Animal Friendship*1|Speak with Animals*1|Cure Wounds*1|Lesser Restoration*2|Pass Without Trace*2|Spike Growth*2|Wind Wall*3|Water Breathing*3|Speak with Plants*3|Conjure Woodland Beings*4|Locate Creature*4	Shortsword|Longbow	16-18	heuristic_carson
4a40b1	Half-Elf	Criminal	2018-11-25T02:22:19Z	Rogue 16	Rogue	Arcane Trickster	16	Elven Accuracy|Alert	105	19	11	20	11	20	14	16		Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception	Shortsword +2|Shortbow|Dagger		11 24 18		NA	NA	Half-Elf		Shortsword|Shortbow|Dagger	16-18	reverent_kilby
9229d8	High Elf	Guild Artisan	2019-01-17T16:25:12Z	Wizard 16	Wizard	School of Transmutation	16	Resilient|Observant	98	13	8	16	14	20	12	12	NG	Arcana|Investigation|Insight|Perception|Persuasion	Dagger	Shocking Grasp*0|Prestidigitation*0|Mage Hand*0|Create Bonfire*0|Message*0|Mage Armor*1|Find Familiar*1|Unseen Servant*1|Detect Magic*1|Identify*1|Magic Missile*1|Sleep*1|Grease*1|Alarm*1|Comprehend Languages*1|Tenser's Floating Disk*1|Invisibility*2|Knock*2|Mirror Image*2|Rope Trick*2|Tiny Servant*3|Slow*3|Haste*3|Lightning Bolt*3|Counterspell*3|Dispel Magic*3|Water Breathing*3|Polymorph*4|Storm Sphere*4|Fabricate*4|Dimension Door*4|Stone Shape*4|Conjure Elemental*5|Creation*5|Wall Of Stone*5|Wall Of Force*5|Rary's Telepathic Bond*5|Create Homunculus*6|True Seeing*6|Guards And Wards*6|Arcane Gate*6|Teleport*7|Simulacrum*7|Sequester*7|Mordenkaininen's Magnificent Mansion*7|Demiplane*8|Mighty Fortress*8|Telepathy*8|Mind Blank*8	01 17 19	NG	G	N	Elf	Shocking Grasp*0|Prestidigitation*0|Mage Hand*0|Create Bonfire*0|Message*0|Mage Armor*1|Find Familiar*1|Unseen Servant*1|Detect Magic*1|Identify*1|Magic Missile*1|Sleep*1|Grease*1|Alarm*1|Comprehend Languages*1|Tenser’s Floating Disk*1|Invisibility*2|Knock*2|Mirror Image*2|Rope Trick*2|Tiny Servant*3|Slow*3|Haste*3|Lightning Bolt*3|Counterspell*3|Dispel Magic*3|Water Breathing*3|Polymorph*4|Storm Sphere*4|Fabricate*4|Dimension Door*4|Stone Shape*4|Conjure Elemental*5|Creation*5|Wall of Stone*5|Wall of Force*5|Rary’s Telepathic Bond*5|Create Homunculus*6|True Seeing*6|Guards and Wards*6|Arcane Gate*6|Teleport*7|Simulacrum*7|Sequester*7|Mordenkainen’s Magnificent Mansion*7|Demiplane*8|Mighty Fortress*8|Telepathy*8|Mind Blank*8	Dagger	16-18	pedantic_mendeleev
503f18	Kobold	Folk Hero	2019-01-04T18:37:36Z	Monk 15	Monk	Way of the Drunken Master	15	Mobile|Athlete|Squat Nimbleness	111	19	10	20	14	12	18	10	Lawful Neutral	Athletics|Acrobatics|Animal Handling|Insight|Survival|Performance	Dart|Unarmed Strike		01 04 19	LN	N	L	Kobold		Dart|Unarmed Strike	12-15	silly_noether
8ce704	Tiefling	Far Traveler	2018-09-20T05:49:01Z	Druid 15	Druid	Circle of the Shepherd	15	Observant|War Caster	141	15	8	15	17	14	20	13		Nature|Insight|Perception|Survival	Whisper		09 19 18		NA	NA	Tiefling			12-15	infallible_boyd
2060ca	Human	Soldier	2018-06-21T04:11:26Z	Paladin 15	Paladin	Oath of Vengeance	15	Polearm Master|Great Weapon Master|Resilient	169	18	25	10	18	8	13	17		Athletics|Insight|Perception|Intimidation|Persuasion	Halberd +1|Javelin|Halberd +1 GWM	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4	06 20 18		NA	NA	Human	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4	Halberd|Javelin	12-15	epic_villani
cd6bd2	Human	Soldier	2018-06-15T03:56:44Z	Barbarian 15	Barbarian	Path of the Totem Warrior	15	Sentinel|Polearm Master	201	20	25	18	18	8	12	10		Athletics|Nature|Perception|Survival|Intimidation	Halberd|Handaxe|Javelin|Halberd Butt		06 14 18		NA	NA	Human		Halberd|Handaxe|Javelin	12-15	lucid_hodgkin
de118c	Human	Pirate	2018-06-19T03:14:30Z	Barbarian 15	Barbarian	Path of the Totem Warrior	15	Sentinel|Polearm Master	201	20	25	18	18	8	12	10	Chaotic Good	Athletics|Stealth|Perception|Survival|Intimidation	Handaxe|Battleaxe +1|Longbow|Battleaxe +1 Rage		06 18 18	CG	G	C	Human		Handaxe|Battleaxe|Longbow	12-15	youthful_goldstine
1ae626	Mountain Dwarf	Clan Crafter	2018-07-17T17:29:01Z	Fighter 15	Fighter	Champion	15	Squat Nimbleness|Shield Master|Skilled|Tough	169	20	20	8	16	12	14	8		Athletics|History|Investigation|Nature|Animal Handling|Insight|Perception|Survival	Warhammer|Handaxe		07 17 18		NA	NA	Dwarf		Warhammer|Handaxe	12-15	gracious_bell
43beab	Lineage - Zari	Guild Member - Mayhem	2018-12-19T03:01:46Z	Sorcerer 15	Sorcerer	Draconic Bloodline	15	War Caster|Shield Master|Elemental Adept	165	21	16	16	18	13	14	20		Acrobatics|Arcana|Insight|Performance	Quarterstaff|Dagger		12 18 18		NA	NA	Tiefling		Quarterstaff|Dagger	12-15	hardcore_pike
b20868	Half-Orc	Folk Hero	2018-10-12T02:00:35Z	Bard 15	Bard	College of Glamour	15	Actor	128	11	14	10	16	15	15	19		Animal Handling|Insight|Perception|Survival|Intimidation	Rapier|Dagger		10 11 18		NA	NA	Half-Orc		Rapier|Dagger	12-15	goofy_chatelet
d3310c	Human	Soldier	2018-06-15T04:10:21Z	Paladin 15	Paladin	Oath of Vengeance	15	Polearm Master|Great Weapon Master|Resilient	132	16	18	10	14	8	10	16		Athletics|Insight|Perception|Intimidation|Persuasion	Halberd|Javelin	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4	06 14 18		NA	NA	Human	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4	Halberd|Javelin	12-15	zen_knuth
5324c0	High Elf	Urban Bounty Hunter	2018-06-15T04:07:09Z	Fighter 15	Fighter	Eldritch Knight	15	War Caster|Sentinel|Resilient	139	24	19	20	14	16	12	8	chaotic good	Acrobatics|Stealth|Insight|Perception|Survival	Rapier|Crossbow, light		06 14 18	CG	G	C	Elf		Rapier|Crossbow, Light	12-15	angry_fermi
41f232	Half-Orc	Far Traveler	2018-06-15T04:08:49Z	Paladin 15	Paladin	Oath of Vengeance	15	Great Weapon Master	153	16	18	10	16	8	10	16	Chaotic Good	Athletics|Insight|Perception|Intimidation|Persuasion	Greatsword|Javelin	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4	06 14 18	CG	G	C	Half-Orc	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4	Greatsword|Javelin	12-15	sharp_taussig
20622f	High Elf	Sailor	2018-06-15T04:04:59Z	Fighter 15	Fighter	Battle Master	15	Crossbow Expert|Sharpshooter	170	16	8	20	18	9	14	10		Athletics|Perception|Survival|Intimidation	Crossbow, heavy|Crossbow, light		06 14 18		NA	NA	Elf		Crossbow, Heavy|Crossbow, Light	12-15	unruffled_goldberg
30f9b9	Deep Gnome	Mercenary Veteran	2018-08-12T22:29:58Z	Barbarian 15	Barbarian	Path of the Berserker	15		200	15	15	14	17	12	10	14		Athletics|Intimidation|Persuasion	Greataxe|Handaxe|Javelin		08 12 18		NA	NA	Gnome		Greataxe|Handaxe|Javelin	12-15	dreamy_gould
